,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
2020-03-01,2.571,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.057
2020-03-08,2.796,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.057
2020-03-15,15.184,0.0,1.416,0.0,0.0,0.0,2.714,0.253,0.057
2020-03-22,80.816,0.02,7.536,0.002,9.143,0.852,59.286,5.528,0.057
2020-03-29,186.449,1.102,17.385,0.103,39.429,3.676,203.143,18.942,0.057
2020-04-05,263.041,5.327,24.527,0.497,77.143,7.193,346.143,32.276,0.057
2020-04-12,233.653,9.122,21.787,0.851,93.286,8.698,408.857,38.123,0.057
2020-04-19,131.551,8.49,12.266,0.791,81.143,7.566,364.286,33.967,0.057
2020-04-26,113.49,5.837,10.582,0.544,74.857,6.98,334.571,31.197,0.057
2020-05-03,65.347,3.694,6.093,0.344,58.143,5.422,268.857,25.069,0.057
2020-05-10,51.673,4.571,4.818,0.426,43.571,4.063,197.714,18.436,0.057
2020-05-17,47.714,3.408,4.449,0.318,36.429,3.397,134.143,12.508,0.057
2020-05-24,61.49,2.306,5.733,0.215,27.143,2.531,101.571,9.471,0.057
2020-05-31,53.184,1.592,4.959,0.148,14.714,1.372,79.286,7.393,0.057
2020-06-07,47.959,0.98,4.472,0.091,10.0,0.932,64.714,6.034,0.057
2020-06-14,56.286,0.49,5.248,0.046,10.571,0.986,65.429,6.101,0.057
2020-06-21,58.959,0.714,5.497,0.067,8.571,0.799,79.714,7.433,0.057
2020-06-28,97.755,1.51,9.115,0.141,11.143,1.039,69.714,6.5,0.057
2020-07-05,173.429,0.857,16.171,0.08,11.429,1.066,71.571,6.674,0.057
2020-07-12,102.388,0.246,9.547,0.023,12.857,1.199,71.714,6.687,0.057
2020-07-19,100.694,0.673,9.389,0.063,18.857,1.758,74.286,6.927,0.057
2020-07-26,167.367,1.306,15.606,0.122,18.0,1.678,87.0,8.112,0.057
2020-08-02,213.122,1.878,19.873,0.175,18.286,1.705,113.571,10.59,0.057
2020-08-09,211.225,1.347,19.695,0.126,15.286,1.425,108.571,10.124,0.057
2020-08-16,227.49,0.694,21.212,0.065,23.571,2.198,106.714,9.951,0.057
2020-08-23,253.939,1.939,23.678,0.181,24.714,2.304,115.857,10.803,0.057
2020-08-30,312.143,1.755,29.105,0.164,33.857,3.157,144.0,13.427,0.057
2020-09-06,449.592,1.347,41.922,0.126,45.714,4.263,194.286,18.116,0.057
2020-09-13,864.776,2.714,80.635,0.253,63.429,5.914,277.857,25.908,0.07
2020-09-20,1585.143,5.714,147.805,0.533,87.857,8.192,452.429,42.186,0.093
2020-09-27,2077.673,11.102,193.73,1.035,151.286,14.107,739.0,68.907,0.108
2020-10-04,2303.612,15.735,214.798,1.467,228.714,21.326,1114.286,103.9,0.129
2020-10-11,3925.469,27.878,366.026,2.599,381.857,35.606,1914.571,178.522,0.198
2020-10-18,6736.694,51.551,628.156,4.807,530.571,49.473,3169.286,295.517,0.259
2020-10-25,10465.572,88.755,975.852,8.276,712.857,66.47,5012.714,467.406,0.297
2020-11-01,12342.816,147.796,1150.893,13.781,1027.571,95.815,7004.429,653.121,0.316
2020-11-08,11309.878,200.939,1054.578,18.736,1158.857,108.056,7964.0,742.595,0.302
2020-11-15,7976.102,200.306,743.724,18.677,1057.0,98.559,7150.714,666.761,0.228
2020-11-22,5265.123,163.919,490.941,15.284,872.0,81.309,6088.143,567.683,0.159
2020-11-29,4231.755,132.816,394.586,12.384,732.714,68.321,5109.143,476.397,0.122
2020-12-06,3788.408,120.51,353.246,11.237,594.571,55.44,4476.857,417.44,0.111
2020-12-13,3795.388,88.02,353.897,8.208,565.429,52.723,4457.429,415.628,0.141
2020-12-20,5612.143,110.388,523.299,10.293,603.857,56.306,4694.286,437.714,0.15
2020-12-27,7262.796,106.755,677.212,9.954,668.571,62.34,4740.286,442.003,0.143
2021-01-03,8470.531,116.224,789.826,10.837,873.714,81.469,5990.857,558.611,0.203
2021-01-10,11300.837,149.306,1053.735,13.922,1087.429,101.396,7229.714,674.127,0.209
2021-01-17,10377.694,174.98,967.657,16.316,1150.143,107.244,7092.857,661.366,0.17
2021-01-24,7420.918,159.306,691.956,14.854,1093.143,101.929,6399.429,596.708,0.15
2021-01-31,6780.102,137.551,632.204,12.826,1000.714,93.31,5985.857,558.145,0.136
2021-02-07,6929.0,130.388,646.088,12.158,1034.429,96.454,5924.714,552.444,0.127
2021-02-14,7394.123,133.898,689.457,12.485,1106.286,103.154,6013.571,560.729,0.129
2021-02-21,8424.429,140.653,785.527,13.115,1272.286,118.633,6452.571,601.664,0.132
2021-02-28,10684.102,156.673,996.228,14.609,1502.0,140.053,7330.857,683.558,0.139
2021-03-07,12124.286,182.102,1130.517,16.98,1754.0,163.55,8424.714,785.554,0.126
2021-03-14,11593.326,211.694,1081.008,19.739,1973.571,184.024,8958.714,835.346,0.078
2021-03-21,10486.367,211.653,977.791,19.735,2015.143,187.9,8965.143,835.945,0.056
2021-03-28,8042.0,189.408,749.868,17.661,1866.429,174.033,8221.714,766.625,0.042
2021-04-04,6240.51,162.816,581.89,15.182,1561.429,145.594,7122.0,664.084,0.033
2021-04-11,4267.755,129.347,397.943,12.061,1296.857,120.924,6150.0,573.451,0.024
2021-04-18,3683.939,107.51,343.505,10.025,999.429,93.191,4709.143,439.099,0.018
2021-04-25,2751.612,80.959,256.571,7.549,803.429,74.915,3745.571,349.252,0.014
2021-05-02,2265.511,60.041,211.245,5.599,575.0,53.615,2870.286,267.637,0.011
2021-05-09,1807.327,47.98,168.522,4.474,417.429,38.923,2258.143,210.558,0.008
2021-05-16,1293.551,40.98,120.616,3.821,309.0,28.812,1641.143,153.027,0.006
2021-05-23,897.143,21.776,83.653,2.031,193.857,18.076,1103.0,102.848,0.004
2021-05-30,563.245,14.123,52.519,1.317,118.429,11.043,688.714,64.218,0.003
2021-06-06,387.306,9.633,36.114,0.898,71.143,6.634,408.0,38.044,0.002
2021-06-13,280.775,10.02,26.181,0.934,33.286,3.104,229.286,21.38,0.001
2021-06-20,160.429,7.429,14.959,0.693,17.143,1.598,122.0,11.376,0.001
2021-06-27,123.714,4.633,11.536,0.432,11.286,1.052,77.429,7.22,0.001
2021-07-04,134.816,2.082,12.571,0.194,7.571,0.706,48.429,4.516,0.001
2021-07-11,171.572,2.592,15.998,0.242,3.429,0.32,34.714,3.237,0.002
2021-07-18,236.02,1.735,22.007,0.162,5.286,0.493,33.429,3.117,0.002
2021-07-25,223.041,1.755,20.797,0.164,5.143,0.479,46.571,4.342,0.002
2021-08-01,188.204,2.551,17.549,0.238,9.0,0.839,58.0,5.408,0.002
2021-08-08,168.388,1.096,15.701,0.102,12.286,1.146,59.143,5.515,0.002
2021-08-15,183.408,0.379,17.102,0.035,17.286,1.612,62.429,5.821,0.002
