,date,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
0,2020-03-01,22.385,0.352,0.454,0.006,277.818,8.374,1511.545,42.825,0.099
1,2020-03-02,27.231,0.517,0.541,0.008,280.06,8.407,1430.287,41.713,0.099
2,2020-03-03,33.099,0.802,0.65,0.013,286.151,8.516,1383.479,41.101,0.101
3,2020-03-04,41.286,1.088,0.833,0.018,292.818,8.637,1354.21,40.78,0.102
4,2020-03-05,52.934,1.527,1.083,0.025,298.636,8.732,1351.845,40.964,0.104
5,2020-03-06,66.451,2.088,1.414,0.035,310.545,8.942,1383.203,41.628,0.108
6,2020-03-07,84.407,2.539,1.774,0.043,320.818,9.118,1397.918,42.028,0.109
7,2020-03-08,102.121,4.077,2.215,0.069,329.594,9.285,1484.447,43.595,0.109
8,2020-03-09,129.352,5.154,2.898,0.088,338.818,9.455,1574.243,45.273,0.113
9,2020-03-10,154.473,6.912,3.794,0.118,354.364,9.736,1680.579,47.161,0.116
10,2020-03-11,198.505,9.154,5.132,0.157,370.636,10.036,1811.729,49.591,0.118
11,2020-03-12,224.747,10.802,5.974,0.187,386.0,10.363,1957.691,52.245,0.117
12,2020-03-13,317.978,14.275,8.404,0.25,408.868,10.773,2122.375,55.403,0.121
13,2020-03-14,376.703,16.791,9.761,0.301,438.273,11.389,2316.508,58.819,0.121
14,2020-03-15,432.538,20.582,11.165,0.375,466.969,11.933,2555.818,63.135,0.122
15,2020-03-16,513.593,24.769,12.832,0.451,501.385,12.68,2822.668,67.984,0.121
16,2020-03-17,594.198,29.165,14.591,0.55,532.636,13.304,3119.909,74.133,0.122
17,2020-03-18,681.527,33.505,16.14,0.639,562.273,14.028,3315.636,77.314,0.121
18,2020-03-19,827.329,40.429,19.474,0.783,612.727,15.229,3602.182,83.998,0.122
19,2020-03-20,912.055,48.967,21.093,0.954,662.364,16.425,3777.364,88.438,0.122
20,2020-03-21,1036.473,60.967,24.18,1.199,713.545,17.676,4036.273,94.035,0.124
21,2020-03-22,1147.022,69.593,27.154,1.389,758.364,18.652,4367.273,100.82,0.127
22,2020-03-23,1291.011,80.758,31.001,1.657,833.364,20.47,4663.818,107.82,0.131
23,2020-03-24,1411.363,93.835,34.155,1.947,913.091,22.08,4965.364,114.374,0.132
24,2020-03-25,1573.407,110.308,38.372,2.318,989.909,23.938,5298.455,122.214,0.135
25,2020-03-26,1737.648,125.363,42.767,2.674,1052.727,25.453,5641.182,128.554,0.134
26,2020-03-27,1889.308,140.626,46.889,3.042,1120.273,27.147,5988.091,137.441,0.132
27,2020-03-28,2031.121,154.319,50.505,3.373,1193.182,28.77,6341.273,144.254,0.132
28,2020-03-29,2120.374,167.011,53.039,3.719,1246.091,30.244,6697.091,150.959,0.136
29,2020-03-30,2175.538,181.505,54.46,4.038,1323.091,32.308,7047.091,157.62,0.133
30,2020-03-31,2303.659,193.945,57.522,4.355,1410.364,34.271,7387.909,163.811,0.132
31,2020-04-01,2356.384,214.56,58.833,4.782,1480.182,35.775,7678.091,169.105,0.13
32,2020-04-02,2340.066,228.813,58.374,5.114,1551.545,37.243,7881.455,174.546,0.127
33,2020-04-03,2352.582,244.549,59.063,5.453,1634.455,38.887,8140.455,177.701,0.129
34,2020-04-04,2081.264,253.439,54.699,5.39,1679.455,39.974,8406.636,181.997,0.127
35,2020-04-05,2039.967,256.571,53.696,5.419,1715.909,40.903,8571.727,183.781,0.123
36,2020-04-06,1977.165,260.758,52.297,5.493,1739.455,41.501,8774.727,190.794,0.121
37,2020-04-07,1852.934,278.11,50.124,5.85,1765.636,41.949,8833.545,191.961,0.119
38,2020-04-08,1664.386,273.286,47.259,5.814,1768.182,42.024,8898.273,193.597,0.116
39,2020-04-09,1426.242,282.549,43.524,5.965,1758.727,41.849,8928.882,192.947,0.115
40,2020-04-10,1444.898,280.077,43.493,5.876,1761.727,41.567,8973.46,193.169,0.113
41,2020-04-11,1778.571,273.747,47.989,5.983,1739.727,41.154,8964.369,193.577,0.111
42,2020-04-12,2287.385,273.989,55.003,5.937,1733.545,41.01,9009.064,193.804,0.109
43,2020-04-13,2238.736,269.154,53.564,5.812,1722.091,40.385,8998.545,193.179,0.108
44,2020-04-14,2379.594,254.549,54.463,5.51,1701.909,40.034,9005.54,193.606,0.106
45,2020-04-15,2311.582,264.857,52.539,5.699,1664.091,39.141,8849.0,190.823,0.104
46,2020-04-16,2406.165,256.538,53.685,5.587,1641.0,38.948,8724.727,189.214,0.102
47,2020-04-17,2402.242,254.264,52.376,5.562,1606.364,38.106,8500.636,185.052,0.099
48,2020-04-18,2373.736,252.725,51.558,5.567,1589.727,37.527,8360.584,181.192,0.098
49,2020-04-19,1841.077,244.341,43.623,5.428,1557.0,36.772,8343.091,180.431,0.097
50,2020-04-20,1809.472,240.616,43.172,5.35,1543.182,36.501,8308.273,180.312,0.092
51,2020-04-21,1667.088,242.407,41.367,5.448,1490.273,35.263,8189.091,177.47,0.093
52,2020-04-22,1642.132,225.0,41.034,5.168,1439.818,34.087,8101.818,175.69,0.09
53,2020-04-23,1429.264,215.341,37.144,4.937,1401.364,33.381,7835.727,169.681,0.086
54,2020-04-24,1235.901,206.385,33.12,4.811,1346.818,32.06,7616.818,165.53,0.063
55,2020-04-25,1201.373,202.286,32.538,4.694,1317.273,31.631,7445.0,161.581,0.061
56,2020-04-26,1110.934,195.681,30.378,4.532,1288.909,30.985,7403.364,160.379,0.055
57,2020-04-27,1101.022,188.33,29.649,4.429,1256.727,30.245,7299.455,158.873,0.055
58,2020-04-28,1058.582,178.451,28.172,4.109,1213.909,29.262,7129.455,155.04,0.051
59,2020-04-29,970.209,173.33,26.125,3.959,1164.818,28.289,6961.182,151.709,0.048
60,2020-04-30,930.154,164.56,25.055,3.81,1122.364,27.355,6763.273,147.726,0.044
61,2020-05-01,1002.033,151.198,26.455,3.492,1078.182,26.28,6584.455,142.986,0.045
62,2020-05-02,940.945,148.143,24.13,3.421,1049.455,25.602,6508.545,141.124,0.043
63,2020-05-03,897.461,143.033,22.793,3.345,1034.0,25.236,6479.364,140.694,0.041
64,2020-05-04,821.143,137.231,21.481,3.243,1010.091,24.792,6394.0,139.195,0.039
65,2020-05-05,773.176,129.275,20.597,3.122,961.364,23.521,6241.455,136.721,0.037
66,2020-05-06,791.374,124.121,20.856,2.931,909.909,22.517,6062.545,133.59,0.036
67,2020-05-07,773.615,119.505,20.721,2.832,869.727,21.601,5870.727,129.585,0.035
68,2020-05-08,747.945,121.264,20.513,2.918,830.455,20.69,5698.636,125.814,0.035
69,2020-05-09,719.989,108.604,20.49,2.679,798.273,19.954,5583.364,122.584,0.034
70,2020-05-10,702.67,106.011,20.263,2.592,785.0,19.377,5513.091,120.891,0.033
71,2020-05-11,724.528,102.516,20.481,2.456,768.909,19.05,5500.364,120.901,0.033
72,2020-05-12,711.769,100.802,20.265,2.36,729.364,18.175,5315.455,116.226,0.032
73,2020-05-13,649.33,93.132,18.927,2.312,691.455,17.232,5169.636,113.011,0.031
74,2020-05-14,611.286,91.627,17.695,2.222,664.273,16.636,4989.0,109.48,0.03
75,2020-05-15,582.857,84.901,16.863,2.076,641.364,16.02,4839.455,106.171,0.028
76,2020-05-16,571.791,84.758,16.571,2.037,613.636,15.418,4700.0,103.496,0.028
77,2020-05-17,553.769,85.791,16.141,2.041,600.455,15.199,4678.364,102.749,0.027
78,2020-05-18,512.187,82.495,15.409,1.978,582.545,14.738,4646.818,102.456,0.026
79,2020-05-19,499.725,73.187,14.992,1.818,558.455,14.042,4545.727,100.417,0.026
80,2020-05-20,489.429,69.308,14.958,1.685,530.273,13.472,4405.091,97.478,0.025
81,2020-05-21,477.956,62.494,14.728,1.548,515.273,13.024,4301.545,95.528,0.025
82,2020-05-22,484.22,66.077,14.7,1.566,498.727,12.632,4226.0,93.677,0.025
83,2020-05-23,475.297,63.187,14.615,1.547,481.909,12.096,4138.455,91.664,0.025
84,2020-05-24,465.088,60.066,14.437,1.498,472.909,12.029,4118.0,90.806,0.025
85,2020-05-25,438.418,59.82,13.948,1.512,463.091,11.775,4052.636,90.164,0.024
86,2020-05-26,414.472,59.292,13.623,1.541,444.273,11.322,3952.727,88.123,0.023
87,2020-05-27,389.593,57.867,13.199,1.508,424.727,10.869,3842.545,86.011,0.023
88,2020-05-28,428.769,56.677,13.964,1.507,410.364,10.58,3723.091,83.541,0.022
89,2020-05-29,409.319,53.953,13.879,1.484,398.636,10.279,3592.818,80.931,0.021
90,2020-05-30,417.868,50.311,13.933,1.393,388.909,10.024,3503.545,79.157,0.021
91,2020-05-31,416.055,45.411,14.002,1.298,383.545,9.998,3453.818,77.848,0.02
92,2020-06-01,420.121,40.67,14.193,1.187,378.273,9.909,3433.273,77.963,0.02
93,2020-06-02,396.67,37.154,13.914,1.084,368.818,9.651,3370.727,76.295,0.02
94,2020-06-03,356.099,35.396,13.561,1.034,347.364,9.125,3264.273,74.033,0.02
95,2020-06-04,342.923,32.011,13.565,0.918,334.273,8.81,3176.727,72.57,0.019
96,2020-06-05,337.539,31.527,13.907,0.907,321.091,8.465,3090.545,70.421,0.019
97,2020-06-06,326.165,30.077,14.226,0.846,312.0,8.283,3019.727,68.988,0.019
98,2020-06-07,329.594,29.473,14.518,0.827,309.909,8.317,2972.909,67.944,0.018
99,2020-06-08,331.396,29.44,14.688,0.843,303.091,8.145,2933.364,67.318,0.018
100,2020-06-09,346.604,28.802,15.172,0.786,290.636,7.941,2870.909,65.719,0.018
101,2020-06-10,386.78,26.868,16.076,0.755,279.182,7.791,2785.182,63.437,0.018
102,2020-06-11,343.286,25.385,15.597,0.722,266.455,7.452,2693.03,61.25,0.019
103,2020-06-12,344.791,22.56,15.666,0.625,262.545,7.313,2616.636,59.866,0.018
104,2020-06-13,341.088,22.099,15.718,0.623,259.727,7.208,2572.455,58.835,0.018
105,2020-06-14,339.945,21.637,15.558,0.612,259.0,7.23,2557.182,59.08,0.018
106,2020-06-15,335.011,20.462,15.576,0.573,254.818,7.075,2531.545,58.67,0.018
