,date,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
0,2020-03-01,22.38,0.35,0.45,0.01,277.82,8.37,1511.55,42.82,0.1
1,2020-03-08,58.22,1.81,1.22,0.03,302.66,8.81,1397.91,41.69,0.1
2,2020-03-15,262.04,11.95,6.73,0.21,394.85,10.53,2002.71,53.09,0.12
3,2020-03-22,816.03,43.91,19.35,0.85,620.47,15.43,3577.33,83.82,0.12
4,2020-03-29,1722.03,124.6,42.39,2.68,1049.81,25.44,5656.47,129.37,0.13
5,2020-04-05,2235.64,224.77,56.66,4.94,1542.14,37.05,7873.34,172.65,0.13
6,2020-04-12,1775.94,274.65,48.53,5.85,1752.43,41.58,8911.76,192.84,0.11
7,2020-04-19,2279.02,256.63,51.69,5.6,1640.31,38.7,8683.16,187.64,0.1
8,2020-04-26,1442.31,218.24,36.96,4.99,1403.95,33.42,7842.87,170.09,0.08
9,2020-05-03,985.77,163.86,26.05,3.79,1131.35,27.47,6817.96,148.31,0.05
10,2020-05-10,761.42,120.86,20.7,2.9,880.69,21.78,5909.12,129.77,0.04
11,2020-05-17,629.33,91.93,18.13,2.21,672.78,16.82,5027.47,110.29,0.03
12,2020-05-24,486.27,68.12,14.83,1.66,520.01,13.15,4340.23,96.0,0.03
13,2020-05-31,416.36,54.76,13.79,1.46,416.22,10.69,3731.6,83.68,0.02
14,2020-06-07,358.44,33.76,13.98,0.97,338.82,8.94,3189.74,72.6,0.02
15,2020-06-14,347.7,25.26,15.5,0.71,274.38,7.58,2718.39,62.21,0.02
16,2020-06-21,346.66,23.89,16.02,0.66,232.4,6.43,2390.52,55.73,0.02
17,2020-06-28,337.63,21.42,16.09,0.63,202.58,5.64,2092.57,49.64,0.02
18,2020-07-05,283.41,11.45,14.05,0.4,180.57,4.92,1856.3,44.24,0.02
19,2020-07-12,261.25,8.78,11.04,0.31,161.09,4.32,1650.9,38.9,0.01
20,2020-07-19,296.15,7.13,11.13,0.25,147.49,3.87,1527.18,35.49,0.02
21,2020-07-26,386.76,5.41,12.63,0.21,135.47,3.46,1419.34,33.17,0.02
22,2020-08-02,489.37,4.71,15.15,0.18,127.66,3.15,1341.61,31.7,0.02
23,2020-08-09,668.25,4.8,20.19,0.15,125.18,3.1,1311.19,31.07,0.02
24,2020-08-16,842.0,5.9,25.65,0.18,125.57,3.15,1295.77,30.71,0.03
25,2020-08-23,1100.84,7.81,31.03,0.23,130.43,3.26,1309.89,31.12,0.03
26,2020-08-30,1366.89,6.8,35.48,0.21,150.25,3.72,1434.42,33.93,0.03
27,2020-09-06,1638.97,8.0,41.72,0.23,178.08,4.35,1580.74,37.11,0.03
28,2020-09-13,2005.62,9.91,54.42,0.28,219.31,5.37,1771.17,42.2,0.03
29,2020-09-20,2420.62,15.22,72.04,0.42,269.35,6.76,2082.95,51.23,0.03
30,2020-09-27,2969.31,21.31,90.15,0.61,336.98,8.94,2370.3,60.86,0.04
31,2020-10-04,3265.09,25.06,99.85,0.71,401.84,11.04,2642.85,70.23,0.05
32,2020-10-11,4477.04,30.42,135.69,0.94,467.89,13.54,3175.67,87.81,0.06
33,2020-10-18,6216.84,41.49,195.51,1.32,583.36,17.13,4223.82,120.17,0.08
34,2020-10-25,8927.81,63.31,283.06,2.03,786.42,22.95,6076.42,174.44,0.1
35,2020-11-01,12610.04,98.78,389.97,3.15,1092.71,31.74,8636.32,246.02,0.12
36,2020-11-08,15237.68,162.72,461.0,4.95,1434.8,40.33,11102.02,311.56,0.13
37,2020-11-15,14672.69,204.38,456.38,6.09,1665.33,45.3,12721.19,348.3,0.13
38,2020-11-22,13207.46,231.3,420.77,6.79,1745.71,46.97,13162.27,357.88,0.13
39,2020-11-29,10620.99,251.03,355.37,7.37,1692.99,45.89,12466.51,340.28,0.12
40,2020-12-06,8646.11,245.56,299.08,7.41,1569.75,42.49,11508.35,316.74,0.1
41,2020-12-13,8526.26,229.34,301.58,6.81,1495.44,40.3,10946.94,305.53,0.1
42,2020-12-20,9757.85,240.87,351.69,7.28,1488.94,40.31,10769.92,303.73,0.1
43,2020-12-27,10570.01,225.19,362.61,6.78,1527.41,41.31,10613.33,299.65,0.1
44,2021-01-03,10670.0,218.86,357.42,6.42,1630.72,44.84,11148.66,318.92,0.12
45,2021-01-10,13023.71,252.86,424.21,7.27,1738.71,48.6,12099.99,346.86,0.12
46,2021-01-17,13529.66,300.49,429.83,8.59,1836.31,51.22,12928.94,362.53,0.11
47,2021-01-24,12236.04,315.85,386.23,9.04,1916.06,52.62,13491.93,372.04,0.09
48,2021-01-31,11146.15,316.33,366.35,9.18,1952.62,52.89,13491.24,371.83,0.09
49,2021-02-07,9552.44,298.63,314.69,8.66,1911.01,52.42,12674.69,350.62,0.08
50,2021-02-14,7735.43,254.52,253.36,7.28,1782.98,49.84,11257.5,313.58,0.07
51,2021-02-21,6829.78,205.12,232.87,5.85,1642.0,47.26,9914.94,277.59,0.07
52,2021-02-28,7265.61,171.39,259.02,4.97,1532.94,45.74,9228.69,262.33,0.07
53,2021-03-07,7536.08,153.76,277.89,4.64,1495.15,46.07,9032.78,262.86,0.07
54,2021-03-14,8029.34,140.28,290.91,4.56,1501.41,47.06,9215.58,269.17,0.06
55,2021-03-21,9064.22,130.62,312.41,4.39,1533.88,47.82,9660.64,279.62,0.07
56,2021-03-28,10356.36,143.27,328.71,4.57,1595.41,48.32,10257.99,290.66,0.07
57,2021-04-04,10722.35,141.13,334.21,4.4,1663.1,47.91,10696.98,295.48,0.07
58,2021-04-11,9144.45,134.67,293.0,4.17,1763.74,48.3,11035.07,298.89,0.07
59,2021-04-18,9799.16,147.13,298.66,4.38,1770.99,46.48,10537.27,278.51,0.07
60,2021-04-25,8624.15,132.44,266.59,3.92,1752.02,44.6,9753.08,253.98,0.06
61,2021-05-02,7465.46,120.19,231.91,3.42,1670.82,41.03,8712.73,222.82,0.06
62,2021-05-09,6042.97,99.61,198.12,2.91,1537.0,37.24,7538.27,190.29,0.05
63,2021-05-16,4892.98,87.78,170.68,2.52,1331.88,31.72,6179.47,153.93,0.04
64,2021-05-23,3709.75,67.7,133.53,1.9,1114.85,25.88,4943.01,120.06,0.04
65,2021-05-30,2809.67,52.97,100.91,1.48,917.71,21.09,3880.78,91.37,0.03
66,2021-06-06,2372.4,39.61,82.04,1.09,721.44,16.51,3065.63,70.43,0.02
67,2021-06-13,2058.14,30.87,67.96,0.88,573.96,13.09,2474.51,55.7,0.02
68,2021-06-20,1690.51,23.49,49.05,0.63,454.36,10.49,2015.23,44.93,0.01
69,2021-06-27,1741.25,17.34,47.49,0.5,363.14,8.56,1678.58,37.25,0.01
70,2021-07-04,2585.66,14.0,64.23,0.39,298.79,7.06,1485.9,32.82,0.01
71,2021-07-11,4129.48,11.55,110.39,0.32,272.79,6.48,1471.62,32.13,0.02
72,2021-07-18,6363.79,10.54,183.02,0.29,287.83,6.91,1700.47,37.79,0.03
73,2021-07-25,8102.28,11.88,215.89,0.32,334.44,8.03,2082.32,46.58,0.04
74,2021-08-01,7237.26,16.15,187.18,0.43,413.08,9.86,2460.71,54.57,0.04
75,2021-08-08,6799.69,20.97,172.72,0.56,486.54,11.3,2639.9,57.87,0.04
76,2021-08-15,6829.86,23.45,174.55,0.64,538.08,12.15,2765.8,59.66,0.04
77,2021-08-22,6886.83,29.37,176.87,0.75,581.59,12.73,2884.59,61.74,0.04
78,2021-08-29,6923.53,37.52,178.11,0.98,624.56,13.61,2955.77,63.25,0.04
79,2021-09-05,6443.12,37.41,165.19,0.99,644.21,14.11,2934.49,63.52,0.04
80,2021-09-12,6156.36,38.3,152.0,1.04,643.75,14.32,2832.79,62.0,0.03
81,2021-09-19,5135.87,37.42,133.99,1.06,610.36,13.64,2650.57,59.2,0.03
82,2021-09-26,4793.1,36.81,121.39,1.05,543.78,12.34,2373.29,53.85,0.02
83,2021-10-03,4755.03,32.51,119.22,0.93,480.21,11.11,2190.73,50.67,0.02
84,2021-10-10,4780.39,29.92,123.14,0.87,438.89,10.3,2115.46,50.04,0.03
85,2021-10-17,5313.31,29.45,140.69,0.91,421.06,10.14,2131.55,52.22,0.03
86,2021-10-24,6579.52,32.06,181.84,1.01,437.86,10.73,2366.19,61.21,0.04
87,2021-10-31,7529.19,37.55,237.16,1.18,489.62,12.76,2781.41,79.22,0.05
