,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
2020-03-01,219.857,4.429,3.642,0.073,140.0,2.319,779.0,12.904,0.095
2020-03-08,490.0,21.469,8.117,0.356,388.571,6.437,2319.143,38.417,0.156
2020-03-15,1654.714,127.979,27.411,2.12,1187.0,19.663,7944.571,131.604,0.222
2020-03-22,3785.939,365.796,62.715,6.059,2455.286,40.672,17828.571,295.334,0.253
2020-03-29,5485.02,677.02,90.861,11.215,3599.286,59.623,27968.571,463.305,0.227
2020-04-05,4939.122,785.061,81.818,13.005,4018.714,66.571,32537.286,538.987,0.158
2020-04-12,4094.653,628.469,67.829,10.411,3601.286,59.656,32002.857,530.134,0.105
2020-04-19,3592.633,554.388,59.513,9.184,2948.714,48.846,29576.714,489.945,0.077
2020-04-26,2960.694,477.837,49.045,7.915,2282.714,37.814,25238.286,418.077,0.053
2020-05-03,2223.286,355.551,36.829,5.89,1703.714,28.222,20218.429,334.923,0.039
2020-05-10,1476.388,273.0,24.457,4.522,1254.143,20.775,16414.714,271.914,0.026
2020-05-17,1031.041,208.429,17.079,3.453,863.429,14.303,12510.857,207.245,0.017
2020-05-24,724.245,157.612,11.997,2.611,643.0,10.651,9979.571,165.314,0.012
2020-05-31,524.388,100.041,8.687,1.657,488.0,8.084,7826.714,129.651,0.008
2020-06-07,355.061,77.225,5.882,1.279,345.571,5.725,5835.143,96.66,0.006
2020-06-14,281.592,68.225,4.665,1.13,241.0,3.992,4383.143,72.608,0.005
2020-06-21,262.714,48.694,4.352,0.807,168.0,2.783,3052.286,50.562,0.005
2020-06-28,234.98,25.98,3.893,0.43,107.429,1.779,1649.143,27.318,0.005
2020-07-05,201.49,17.326,3.338,0.287,83.143,1.377,1088.714,18.035,0.004
2020-07-12,201.327,15.918,3.335,0.264,68.857,1.141,940.571,15.581,0.005
2020-07-19,196.306,12.959,3.252,0.215,54.857,0.909,821.0,13.6,0.005
2020-07-26,222.143,10.837,3.68,0.179,46.286,0.767,773.857,12.819,0.005
2020-08-02,261.816,6.653,4.337,0.11,42.286,0.7,770.429,12.762,0.005
2020-08-09,304.755,7.469,5.048,0.124,42.143,0.698,804.143,13.321,0.006
2020-08-16,430.449,12.225,7.13,0.202,52.857,0.876,833.857,13.813,0.009
2020-08-23,584.51,20.959,9.683,0.347,64.571,1.07,952.571,15.78,0.011
2020-08-30,1094.449,6.122,18.13,0.101,72.286,1.198,1198.857,19.859,0.014
2020-09-06,1306.225,6.979,21.638,0.115,115.0,1.905,1617.857,26.8,0.015
2020-09-13,1430.612,10.592,23.698,0.175,163.286,2.705,2011.143,33.315,0.016
2020-09-20,1435.286,10.959,23.776,0.182,208.857,3.46,2510.143,41.581,0.017
2020-09-27,1604.02,16.898,26.571,0.28,243.714,4.037,2929.0,48.52,0.017
2020-10-04,1901.245,19.959,31.494,0.331,285.714,4.733,3400.429,56.329,0.02
2020-10-11,3138.122,23.673,51.984,0.392,362.0,5.996,4327.714,71.689,0.029
2020-10-18,6314.776,40.061,104.606,0.664,597.714,9.901,6467.571,107.136,0.05
2020-10-25,12259.918,85.143,203.088,1.41,995.714,16.494,10813.286,179.124,0.081
2020-11-01,21669.51,168.225,358.96,2.787,1630.0,27.001,17595.571,291.474,0.123
2020-11-08,29726.143,296.959,492.42,4.919,2404.0,39.823,25529.714,422.905,0.152
