,index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
0,2020-03-01,9.43,0.0,0.14,0.0,1813.0,26.58,7267.0,106.54,0.35
1,2020-03-08,36.61,0.1,0.54,0.0,1813.0,26.58,7267.0,106.54,0.35
2,2020-03-15,213.08,2.1,3.12,0.03,1813.0,26.58,7267.0,106.54,0.35
3,2020-03-22,709.37,21.67,10.4,0.32,1813.0,26.58,7267.0,106.54,0.35
4,2020-03-29,2052.41,114.63,30.09,1.68,1813.0,26.58,7734.0,113.39,0.35
5,2020-04-05,3889.35,414.84,57.02,6.08,2021.43,29.64,14729.29,215.95,0.35
6,2020-04-12,4712.06,816.78,69.08,11.98,3034.43,44.49,20813.29,305.15,0.33
7,2020-04-19,4448.86,912.24,65.23,13.37,3220.86,47.22,20274.29,297.25,0.3
8,2020-04-26,4780.2,841.0,70.08,12.33,2854.57,41.85,17870.29,262.0,0.24
9,2020-05-03,4548.86,680.31,66.69,9.97,2225.43,32.63,15216.43,223.09,0.19
10,2020-05-10,3659.35,520.39,53.65,7.63,1723.14,25.26,12769.86,187.22,0.12
11,2020-05-17,2970.65,387.55,43.55,5.68,1331.71,19.52,10992.71,161.17,0.1
12,2020-05-24,2447.06,303.84,35.88,4.45,1009.57,14.8,9416.0,138.05,0.08
13,2020-05-31,1735.1,259.22,25.44,3.8,763.71,11.2,7969.57,116.84,0.05
14,2020-06-07,1321.08,188.49,19.37,2.76,581.43,8.52,6600.29,96.77,0.04
15,2020-06-14,1039.08,132.41,15.23,1.94,429.29,6.29,5322.86,78.04,0.03
16,2020-06-21,974.45,84.49,14.29,1.24,351.14,5.15,4557.14,66.81,0.02
17,2020-06-28,794.94,66.24,11.65,0.97,293.0,4.3,3859.43,56.58,0.02
18,2020-07-05,470.88,53.24,6.9,0.78,244.0,3.58,3127.57,45.85,0.01
19,2020-07-12,498.84,36.65,7.31,0.54,185.29,2.72,2365.71,34.68,0.01
20,2020-07-19,710.92,24.55,10.42,0.36,144.71,2.12,1890.14,27.71,0.01
21,2020-07-26,669.51,17.51,9.82,0.26,110.86,1.63,1555.71,22.81,0.01
22,2020-08-02,730.61,15.2,10.71,0.22,89.14,1.31,1316.14,19.3,0.01
23,2020-08-09,835.31,11.59,12.25,0.17,69.86,1.02,1132.29,16.6,0.01
24,2020-08-16,1009.65,12.51,14.8,0.18,75.0,1.1,1012.29,14.84,0.01
25,2020-08-23,1060.08,9.1,15.54,0.13,72.43,1.06,924.14,13.55,0.01
26,2020-08-30,1170.49,10.35,17.16,0.15,66.43,0.97,838.71,12.3,0.01
27,2020-09-06,1520.96,7.94,22.3,0.12,73.57,1.08,826.0,12.11,0.01
28,2020-09-13,2578.16,10.75,37.8,0.16,90.86,1.33,869.86,12.75,0.01
29,2020-09-20,3364.16,15.33,49.32,0.22,131.14,1.92,1176.43,17.25,0.02
30,2020-09-27,4906.55,26.82,71.94,0.39,237.43,3.48,1858.71,27.25,0.02
31,2020-10-04,6807.14,42.59,99.8,0.62,341.71,5.01,2655.29,38.93,0.03
32,2020-10-11,13752.9,57.82,201.63,0.85,438.14,6.42,4026.86,59.04,0.06
33,2020-10-18,15855.61,98.16,232.46,1.44,571.86,8.38,5921.86,86.82,0.06
34,2020-10-25,19701.33,151.33,288.85,2.22,733.71,10.76,8509.0,124.75,0.07
35,2020-11-01,22343.1,226.2,327.58,3.32,949.71,13.92,11484.43,168.38,0.08
36,2020-11-08,22547.88,303.63,330.58,4.45,1174.43,17.22,13897.86,203.76,0.08
37,2020-11-15,23813.78,386.63,349.14,5.67,1307.14,19.16,15864.14,232.59,0.08
38,2020-11-22,23266.94,420.24,341.12,6.16,1427.14,20.92,17315.43,253.87,0.08
39,2020-11-29,17288.2,461.18,253.47,6.76,1442.0,21.14,16838.14,246.87,0.06
40,2020-12-06,14671.49,443.45,215.1,6.5,1293.43,18.96,15983.86,234.34,0.05
41,2020-12-13,16543.84,421.02,242.55,6.17,1264.57,18.54,16754.0,245.63,0.05
