,index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
0,2020-03-01,219.86,4.43,3.64,0.07,140.0,2.32,779.0,12.9,0.1
1,2020-03-08,490.0,21.47,8.12,0.36,388.57,6.44,2319.14,38.42,0.16
2,2020-03-15,1654.71,127.98,27.41,2.12,1187.0,19.66,7944.57,131.6,0.22
3,2020-03-22,3785.94,365.8,62.71,6.06,2455.29,40.67,17828.57,295.33,0.25
4,2020-03-29,5485.02,677.02,90.86,11.22,3599.29,59.62,27968.57,463.31,0.23
5,2020-04-05,4939.12,785.06,81.82,13.0,4018.71,66.57,32537.29,538.99,0.16
6,2020-04-12,4094.65,628.47,67.83,10.41,3601.29,59.66,32002.86,530.13,0.1
7,2020-04-19,3592.63,554.39,59.51,9.18,2948.71,48.85,29576.71,489.94,0.08
8,2020-04-26,2960.69,477.84,49.04,7.92,2282.71,37.81,25238.29,418.08,0.05
9,2020-05-03,2223.29,355.55,36.83,5.89,1703.71,28.22,20218.43,334.92,0.04
10,2020-05-10,1476.39,273.0,24.46,4.52,1254.14,20.78,16414.71,271.91,0.03
11,2020-05-17,1031.04,208.43,17.08,3.45,863.43,14.3,12510.86,207.25,0.02
12,2020-05-24,724.25,157.61,12.0,2.61,643.0,10.65,9979.57,165.31,0.01
13,2020-05-31,524.39,100.04,8.69,1.66,488.0,8.08,7826.71,129.65,0.01
14,2020-06-07,355.06,77.22,5.88,1.28,345.57,5.72,5835.14,96.66,0.01
15,2020-06-14,281.59,68.22,4.66,1.13,241.0,3.99,4383.14,72.61,0.01
16,2020-06-21,262.71,48.69,4.35,0.81,168.0,2.78,3052.29,50.56,0.0
17,2020-06-28,234.98,25.98,3.89,0.43,107.43,1.78,1649.14,27.32,0.0
18,2020-07-05,201.49,17.33,3.34,0.29,83.14,1.38,1088.71,18.03,0.0
19,2020-07-12,201.33,15.92,3.34,0.26,68.86,1.14,940.57,15.58,0.0
20,2020-07-19,196.31,12.96,3.25,0.21,54.86,0.91,821.0,13.6,0.0
21,2020-07-26,222.14,10.84,3.68,0.18,46.29,0.77,773.86,12.82,0.0
22,2020-08-02,261.82,6.65,4.34,0.11,42.29,0.7,770.43,12.76,0.01
23,2020-08-09,304.76,7.47,5.05,0.12,42.14,0.7,804.14,13.32,0.01
24,2020-08-16,430.45,12.22,7.13,0.2,52.86,0.88,833.86,13.81,0.01
25,2020-08-23,584.51,20.96,9.68,0.35,64.57,1.07,952.57,15.78,0.01
26,2020-08-30,1094.45,6.12,18.13,0.1,72.29,1.2,1198.86,19.86,0.01
27,2020-09-06,1306.22,6.98,21.64,0.12,115.0,1.9,1617.86,26.8,0.02
28,2020-09-13,1430.61,10.59,23.7,0.18,163.29,2.7,2011.14,33.32,0.02
29,2020-09-20,1435.29,10.96,23.78,0.18,208.86,3.46,2510.14,41.58,0.02
30,2020-09-27,1604.02,16.9,26.57,0.28,243.71,4.04,2929.0,48.52,0.02
31,2020-10-04,1901.24,19.96,31.49,0.33,285.71,4.73,3400.43,56.33,0.02
32,2020-10-11,3138.12,23.67,51.98,0.39,362.0,6.0,4327.71,71.69,0.03
33,2020-10-18,6314.78,40.06,104.61,0.66,597.71,9.9,6467.57,107.14,0.05
34,2020-10-25,12259.92,85.14,203.09,1.41,995.71,16.49,10813.29,179.12,0.08
35,2020-11-01,21669.51,168.22,358.96,2.79,1630.0,27.0,17595.57,291.47,0.12
36,2020-11-08,29726.14,296.96,492.42,4.92,2404.0,39.82,25529.71,422.91,0.15
37,2020-11-15,34165.24,472.47,565.95,7.83,3147.0,52.13,33139.14,548.96,0.16
38,2020-11-22,34264.37,617.63,567.6,10.23,3684.71,61.04,37259.43,617.21,0.16
39,2020-11-29,28683.55,707.02,475.15,11.71,3802.43,62.99,37729.14,624.99,0.14
40,2020-12-06,22269.57,732.31,368.9,12.13,3594.0,59.54,35304.43,584.83,0.11
41,2020-12-13,17875.61,667.14,296.11,11.05,3280.0,54.33,32381.29,536.4,0.11
42,2020-12-20,16352.51,645.12,270.88,10.69,2889.29,47.86,29278.14,485.0,0.12
43,2020-12-27,14754.04,520.2,244.4,8.62,2625.0,43.48,26767.0,443.4,0.11
44,2021-01-03,13955.39,466.22,231.17,7.72,2557.43,42.36,25865.43,428.47,0.11
45,2021-01-10,16362.73,472.18,271.05,7.82,2585.86,42.84,25896.86,428.99,0.13
46,2021-01-17,16481.96,495.12,273.03,8.2,2565.57,42.5,25755.86,426.65,0.11
47,2021-01-24,13202.18,477.41,218.7,7.91,2440.86,40.43,24512.29,406.05,0.06
48,2021-01-31,12345.47,455.82,204.51,7.55,2305.14,38.19,23063.57,382.05,0.05
49,2021-02-07,11927.12,406.49,197.58,6.73,2160.14,35.78,21965.86,363.87,0.05
50,2021-02-14,12150.88,356.8,201.28,5.91,2111.71,34.98,21104.0,349.59,0.05
51,2021-02-21,12043.22,311.12,199.5,5.15,2066.71,34.24,20148.86,333.77,0.05
52,2021-02-28,14657.76,296.76,242.81,4.92,2175.71,36.04,20493.71,339.48,0.05
53,2021-03-07,18704.86,287.0,309.85,4.75,2457.57,40.71,22574.86,373.96,0.06
54,2021-03-14,21409.35,320.22,354.65,5.3,2874.29,47.61,26114.29,432.59,0.07
55,2021-03-21,22350.55,376.43,370.24,6.24,3323.14,55.05,29901.71,495.33,0.07
56,2021-03-28,22616.67,419.55,374.65,6.95,3600.86,59.65,32048.43,530.89,0.07
