,index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
0,2020-03-01,2.29,0.0,0.06,0.0,,,2425.0,64.16,0.03
1,2020-03-08,2.29,0.0,0.06,0.0,,,2425.0,64.16,0.03
2,2020-03-15,7.86,0.18,0.21,0.0,,,2425.0,64.16,0.03
3,2020-03-22,45.06,0.55,1.19,0.01,,,2425.0,64.16,0.03
4,2020-03-29,126.43,1.39,3.34,0.04,,,2425.0,64.16,0.03
5,2020-04-05,248.31,6.2,6.57,0.16,,,2425.0,64.16,0.03
6,2020-04-12,368.33,15.96,9.74,0.42,,,2471.22,65.38,0.03
7,2020-04-19,347.31,19.53,9.19,0.52,,,2549.2,67.44,0.03
8,2020-04-26,364.63,21.78,9.65,0.58,,,2956.29,78.22,0.03
9,2020-05-03,324.47,24.59,8.58,0.65,,,2839.57,75.13,0.03
10,2020-05-10,314.84,17.22,8.33,0.46,,,2720.86,71.99,0.03
11,2020-05-17,359.82,17.92,9.52,0.47,,,2542.86,67.28,0.02
12,2020-05-24,368.22,13.22,9.74,0.35,,,2364.57,62.56,0.02
13,2020-05-31,379.67,9.88,10.05,0.26,,,2197.57,58.14,0.02
14,2020-06-07,341.57,11.67,9.04,0.31,,,2124.57,56.21,0.02
15,2020-06-14,438.71,12.88,11.61,0.34,,,1825.62,48.3,0.03
16,2020-06-21,384.02,14.08,10.16,0.37,,,1825.43,48.3,0.02
17,2020-06-28,309.06,13.84,8.18,0.37,,,1917.29,50.73,0.02
18,2020-07-05,282.29,11.59,7.47,0.31,,,1793.86,47.46,0.02
19,2020-07-12,271.29,8.8,7.18,0.23,,,1663.14,44.0,0.01
20,2020-07-19,302.94,7.63,8.01,0.2,,,1580.14,41.81,0.02
21,2020-07-26,366.39,6.71,9.69,0.18,,,1609.14,42.57,0.02
22,2020-08-02,490.8,7.82,12.99,0.21,,,1730.71,45.79,0.03
23,2020-08-09,643.33,9.49,17.02,0.25,,,1899.57,50.26,0.03
24,2020-08-16,702.51,10.49,18.59,0.28,,,2013.86,53.28,0.03
25,2020-08-23,709.0,11.33,18.76,0.3,,,2119.86,56.09,0.03
26,2020-08-30,736.63,11.45,19.49,0.3,,,2204.14,58.32,0.03
27,2020-09-06,643.02,11.76,17.01,0.31,,,2155.0,57.02,0.03
28,2020-09-13,488.37,10.31,12.92,0.27,,,2001.86,52.96,0.03
29,2020-09-20,591.12,13.47,15.64,0.36,,,1968.43,52.08,0.03
30,2020-09-27,938.96,16.53,24.84,0.44,,,2034.51,53.83,0.05
31,2020-10-04,1524.59,24.8,40.34,0.66,,,2610.57,69.07,0.07
32,2020-10-11,2684.2,43.67,71.02,1.16,,,4153.0,109.88,0.1
33,2020-10-18,5483.53,66.78,145.08,1.77,,,6596.1,174.51,0.15
34,2020-10-25,9371.53,101.31,247.94,2.68,,,10148.29,268.49,0.2
35,2020-11-01,14875.0,157.04,393.55,4.15,,,14592.86,386.08,0.26
36,2020-11-08,21071.22,249.55,557.48,6.6,,,19013.29,503.04,0.33
37,2020-11-15,24761.37,328.73,655.11,8.7,,,21804.71,576.89,0.43
38,2020-11-22,22219.2,414.31,587.86,10.96,,,22579.14,597.38,0.46
39,2020-11-29,20155.1,491.18,533.25,13.0,,,21802.86,576.84,0.48
40,2020-12-06,12747.82,459.76,337.27,12.16,,,20511.43,542.67,0.36
41,2020-12-13,10600.18,411.9,280.45,10.9,,,19239.43,509.02,0.34
42,2020-12-20,9946.49,381.08,263.16,10.08,,,18670.43,493.97,0.33
43,2020-12-27,9186.27,316.02,243.04,8.36,,,17401.14,460.38,0.34
44,2021-01-03,8030.16,262.69,212.46,6.95,,,16959.86,448.71,0.31
45,2021-01-10,8972.22,274.0,237.38,7.25,,,16794.08,444.32,0.22
46,2021-01-17,8372.53,307.47,221.51,8.13,,,16271.57,430.5,0.16
47,2021-01-24,6307.08,296.57,166.87,7.85,,,15022.0,397.44,0.12
48,2021-01-31,5508.06,270.9,145.73,7.17,,,13979.71,369.86,0.14
49,2021-02-07,5308.02,267.9,140.44,7.09,,,13042.43,345.06,0.14
50,2021-02-14,5332.78,257.1,141.09,6.8,,,12325.0,326.08,0.13
51,2021-02-21,6294.16,214.1,166.53,5.66,,,12332.0,326.27,0.14
52,2021-02-28,8427.35,213.94,222.96,5.66,,,13770.06,364.32,0.18
53,2021-03-07,11135.8,221.67,294.62,5.86,,,15988.71,423.02,0.22
54,2021-03-14,14160.22,246.73,374.64,6.53,,,18686.14,494.38,0.25
55,2021-03-21,19224.88,290.08,508.64,7.67,,,22034.86,582.98,0.28
56,2021-03-28,24592.0,342.82,650.63,9.07,,,27109.29,717.23,0.31
57,2021-04-04,28080.45,400.18,742.93,10.59,,,31465.0,832.47,0.31
58,2021-04-11,21524.84,440.39,569.49,11.65,,,33990.29,899.29,0.27
59,2021-04-18,19224.71,546.08,508.63,14.45,,,33127.43,876.46,0.22
60,2021-04-25,12824.8,502.82,339.31,13.3,,,29792.14,788.21,0.18
61,2021-05-02,7844.33,420.04,207.54,11.11,,,24487.57,647.87,0.13
62,2021-05-09,4983.29,298.0,131.84,7.88,,,19032.14,503.54,0.1
63,2021-05-16,3786.9,277.92,100.19,7.35,,,13785.43,364.72,0.07
64,2021-05-23,2235.86,208.0,59.15,5.5,,,9790.71,259.03,0.04
65,2021-05-30,1213.49,141.16,32.11,3.73,,,6381.29,168.83,0.02
66,2021-06-06,648.06,87.53,17.15,2.32,,,3978.57,105.26,0.01
67,2021-06-13,379.41,57.61,10.04,1.52,,,2563.43,67.82,0.01
68,2021-06-20,242.84,44.49,6.42,1.18,,,1716.71,45.42,0.0
69,2021-06-27,151.92,27.51,4.02,0.73,,,1234.57,32.66,0.0
70,2021-07-04,100.8,17.92,2.67,0.47,,,808.71,21.4,0.0
71,2021-07-11,82.49,12.63,2.18,0.33,,,490.14,12.97,0.0
72,2021-07-18,81.33,8.88,2.15,0.23,,,377.57,9.99,0.0
73,2021-07-25,97.18,5.51,2.57,0.15,,,330.29,8.74,0.0
74,2021-08-01,114.14,3.59,3.02,0.09,,,296.29,7.84,0.0
75,2021-08-08,141.84,2.86,3.75,0.08,,,295.57,7.82,0.0
76,2021-08-15,163.39,2.53,4.32,0.07,,,310.57,8.22,0.0
77,2021-08-22,188.76,2.55,4.99,0.07,,,343.86,9.1,0.0
78,2021-08-29,203.96,2.98,5.4,0.08,,,383.29,10.14,0.01
79,2021-09-05,271.96,4.57,7.2,0.12,,,476.43,12.61,0.01
80,2021-09-12,387.65,6.33,10.26,0.17,,,606.43,16.04,0.01
81,2021-09-19,541.98,7.63,14.34,0.2,,,871.57,23.06,0.01
82,2021-09-26,695.57,10.63,18.4,0.28,,,1216.14,32.18,0.02
83,2021-10-03,913.08,15.33,24.16,0.41,,,1595.86,42.22,0.02
84,2021-10-10,1391.78,22.12,36.82,0.59,,,2094.29,55.41,0.04
85,2021-10-17,2037.9,30.06,53.92,0.8,,,2788.86,73.79,0.06
86,2021-10-24,3626.61,41.53,95.95,1.1,,,4032.86,106.7,0.09
87,2021-10-31,6183.86,65.47,163.61,1.73,,,5938.0,157.1,0.13
